animal_id,species,breed,age_years,weight_kg,sex,visit_id,visit_date,presenting_complaint,body_system,diagnosis,severity,treatment_type,treatment_detail,outcome
ANM02002,Dog,Labrador Retriever,4.6,28.0,FS,VIS02002,2024-08-23,"frequent urination, straining",Urinary,Urinary tract infection,moderate,Medication,Antibiotics (amoxicillin-clavulanate),recovered
ANM02277,Dog,Yorkshire Terrier,8.8,3.3,MN,VIS02277,2023-11-01,"coughing, nasal discharge",Respiratory,Kennel cough (CIRD),mild,Medication,"Antitussives, antibiotics if secondary infection",recovered
ANM03159,Dog,German Shepherd,1.6,35.7,FS,VIS03159,2023-07-25,"scratching, skin lesions",Dermatology,Pyoderma,mild,Medication,"Systemic antibiotics (cephalexin), topical therapy",recovered
ANM14306,Cat,Maine Coon,6.6,9.3,MN,VIS14306,2023-12-03,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM10502,Cat,Domestic Shorthair,10.6,4.0,M,VIS10502,2023-10-23,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM03085,Dog,German Shepherd,4.9,30.3,MN,VIS03085,2023-06-26,"bad breath, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM04648,Dog,German Shepherd,11.5,36.5,MN,VIS04648,2023-10-20,"bad breath, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM14533,Cat,Domestic Shorthair,12.4,4.6,MN,VIS14533,2023-07-10,"weight loss, increased thirst, decreased appetite",Urinary,Chronic Kidney Disease (CKD),moderate,Medication,"Renal diet, phosphate binders, SQ fluids, benazepril",chronic management
ANM02717,Dog,Yorkshire Terrier,8.9,3.3,F,VIS02717,2023-07-23,"bad breath, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM13146,Cat,Siamese,7.3,3.4,MN,VIS13146,2024-04-10,"weight loss, increased thirst, decreased appetite",Urinary,Chronic Kidney Disease (CKD),moderate,Medication,"Renal diet, phosphate binders, SQ fluids, benazepril",chronic management
ANM09732,Cat,Persian,6.5,5.0,MN,VIS09732,2023-09-15,"weight loss, vomiting, increased thirst",Urinary,Polycystic Kidney Disease (PKD),severe,Medication,"Symptomatic management (fluids, antiemetics, blood pressure control)",chronic management
ANM01665,Dog,German Shepherd,11.5,38.6,MN,VIS01665,2023-01-11,"bad breath, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM13430,Cat,Domestic Shorthair,11.9,5.7,M,VIS13430,2024-06-15,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM11275,Cat,British Shorthair,5.6,7.7,FS,VIS11275,2024-03-04,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM14598,Cat,Maine Coon,4.1,7.0,M,VIS14598,2023-07-03,"straining to urinate, blood in urine, vocalising",Urinary,Feline Lower Urinary Tract Disease (FLUTD),severe,Medication,"Pain relief, urinary diet, fluids; catheterisation if blocked",chronic management
ANM10356,Cat,Domestic Shorthair,15.4,5.1,M,VIS10356,2023-07-29,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM04801,Dog,Beagle,5.7,9.5,FS,VIS04801,2023-12-11,"head shaking, ear scratching",Ear,Otitis externa,moderate,Medication,,recovered
ANM10857,Cat,British Shorthair,16.0,6.6,MN,VIS10857,2023-11-12,"eye discharge, squinting",Ophthalmology,Conjunctivitis,mild,Medication,Topical ophthalmic antibiotics,recovered
ANM07550,Dog,Labrador Retriever,4.9,33.1,FS,VIS07550,2023-12-06,"bad breath, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM05674,Dog,Labrador Retriever,10.0,26.2,FS,VIS05674,2023-07-19,"head shaking, ear scratching",Ear,Otitis externa,moderate,Medication,"Ear flushing, topical antimicrobial/steroid drops",recovered
ANM03991,Dog,French Bulldog,6.4,13.0,FS,VIS03991,2024-02-17,"diarrhoea, vomiting",GI,Diarrhoea / Gastroenteritis,mild,Medication,"Metronidazole, bland diet, fluids",recovered
ANM03762,Dog,German Shepherd,6.6,31.2,FS,VIS03762,2023-07-08,"frequent urination, straining",Urinary,Urinary tract infection,moderate,Medication,Antibiotics (amoxicillin-clavulanate),recovered
ANM04875,Dog,Labrador Retriever,13.4,27.6,FS,VIS04875,2023-02-01,"acute lameness, non-weight bearing",Musculoskeletal,Cruciate ligament rupture,severe,Surgery,TPLO or lateral suture stabilisation,recovered
ANM10522,Cat,Persian,13.6,3.1,FS,VIS10522,2023-07-10,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM03416,Dog,Labrador Retriever,12.5,27.6,MN,VIS03416,2024-06-08,"head shaking, ear scratching",Ear,Otitis externa,moderate,Medication,"Ear flushing, topical antimicrobial/steroid drops",recovered
ANM02454,Dog,German Shepherd,6.8,32.0,FS,VIS02454,2023-03-04,"head shaking, ear scratching",Ear,Otitis externa,mild,Medication,"Topical antimicrobial/steroid drops, ear flush",recovered
ANM01404,Dog,French Bulldog,5.2,8.6,FS,VIS01404,2024-04-21,"vomiting, lethargy",GI,Vomiting (acute),mild,Supportive care,"Anti-emetics (maropitant), fluids, fasting",recovered
ANM04225,Dog,Beagle,4.8,10.0,F,VIS04225,2023-07-20,"coughing, nasal discharge",Respiratory,Kennel cough (CIRD),mild,Medication,"Antitussives, antibiotics if secondary infection",recovered
ANM13401,Cat,Siamese,1.4,3.9,M,VIS13401,2023-10-10,"reduced jumping, stiffness",Musculoskeletal,Osteoarthritis,moderate,Medication,"Meloxicam (low dose), gabapentin, frunevetmab (Solensia)",chronic management
ANM08223,Cat,Domestic Shorthair,4.8,4.9,FS,VIS08223,2024-11-29,"reduced jumping, stiffness",Musculoskeletal,Osteoarthritis,moderate,Medication,"Meloxicam (low dose), gabapentin, frunevetmab (Solensia)",chronic management
ANM11087,Cat,Persian,16.3,3.8,FS,VIS11087,2024-01-27,"weight loss, vomiting, increased thirst",Urinary,Polycystic Kidney Disease (PKD),moderate,Medication,"Symptomatic management (fluids, antiemetics, blood pressure control)",chronic management
ANM08402,Cat,Persian,6.1,4.2,FS,VIS08402,2023-11-26,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM01767,Dog,Labrador Retriever,13.7,27.9,M,VIS01767,2023-03-07,"head shaking, ear scratching",Reproductive,Pyometra,mild,Medication,"Topical antimicrobial/steroid drops, ear flush",recovered
ANM00035,Dog,Labrador Retriever,5.1,25.6,F,VIS00035,2024-06-27,"vomiting, lethargy",GI,Vomiting (acute),mild,Supportive care,"Anti-emetics (maropitant), fluids, fasting",recovered
ANM11742,Cat,Domestic Shorthair,11.2,3.9,FS,VIS11742,2023-04-26,"vomiting, lethargy",GI,Vomiting (acute),mild,Supportive care,"Anti-emetics (maropitant), fluids",recovered
ANM06206,Dog,German Shepherd,2.2,32.4,MN,VIS06206,2024-09-28,"head shaking, ear scratching",Ear,Otitis externa,moderate,Medication,"Topical antimicrobial/steroid drops, ear flush",recovered
ANM03185,Dog,French Bulldog,3.7,12.2,F,VIS03185,2023-06-02,"scratching, skin lesions",Dermatology,Pyoderma,mild,Medication,"Systemic antibiotics (cephalexin), topical therapy",recovered
ANM05001,Dog,German Shepherd,10.5,36.9,FS,VIS05001,2024-12-03,"bad breath, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM05002,Dog,Labrador Retriever,13.5,31.4,FS,VIS05002,2023-02-11,"diarrhoea, vomiting",GI,Diarrhoea / Gastroenteritis,moderate,Medication,"Metronidazole, bland diet, fluids",recovered
ANM01135,Dog,Yorkshire Terrier,4.5,3.2,FS,VIS01135,2024-04-20,"frequent urination, straining",Urinary,Urinary tract infection,mild,Medication,Antibiotics (amoxicillin-clavulanate),recovered
ANM07833,Dog,French Bulldog,8.3,13.8,MN,VIS07833,2024-05-13,"vomiting, lethargy",GI,Vomiting (acute),mild,Supportive care,"Anti-emetics (maropitant), fluids, fasting",recovered
ANM07511,Dog,French Bulldog,5.0,8.2,FS,VIS07511,2023-06-05,"vomiting, lethargy",GI,Vomiting (acute),mild,Supportive care,"Anti-emetics (maropitant), fluids, fasting",recovered
ANM09028,Cat,Domestic Shorthair,1.1,3.2,F,VIS09028,2023-12-31,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM11561,Cat,British Shorthair,8.9,7.6,M,VIS11561,2024-11-29,"sudden hindlimb paralysis, vocalising in pain, cold extremities",Cardiovascular,Feline Aortic Thromboembolism (FATE),severe,Medication,"Analgesia (buprenorphine), antithrombotics (clopidogrel), intensive care",chronic management
ANM05730,Dog,Chihuahua,4.1,2.8,FS,VIS05730,2024-04-05,"itching, redness, recurrent skin issues",Dermatology,Atopic dermatitis,moderate,Medication,"Oclacitinib (Apoquel), lokivetmab (Cytopoint)",chronic management
ANM13874,Cat,Domestic Shorthair,15.2,4.4,FS,VIS13874,2024-12-18,"eye discharge, squinting",Ophthalmology,Conjunctivitis,mild,Medication,Topical ophthalmic antibiotics,recovered
ANM12729,Cat,Domestic Shorthair,13.1,4.5,MN,VIS12729,2024-01-13,"weight loss, increased thirst, decreased appetite",Urinary,Chronic Kidney Disease (CKD),severe,Medication,"Renal diet, phosphate binders, SQ fluids, benazepril",chronic management
ANM00306,Dog,French Bulldog,2.1,13.9,FS,VIS00306,2024-07-11,"noisy breathing, exercise intolerance, cyanosis",Respiratory,Brachycephalic Obstructive Airway Syndrome (BOAS),moderate,Surgery,"Staphylectomy, nares resection",chronic management
ANM11903,Cat,British Shorthair,17.0,7.2,MN,VIS11903,2024-12-31,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM10983,Cat,Persian,16.1,3.8,FS,VIS10983,2023-12-10,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM03837,Dog,Beagle,8.8,9.7,MN,VIS03837,2023-01-23,"vomiting, lethargy",GI,Vomiting (acute),mild,Supportive care,"Anti-emetics (maropitant), fluids, fasting",recovered
ANM14801,Cat,British Shorthair,15.4,5.5,FS,VIS14801,2023-08-17,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM13844,Cat,Maine Coon,14.2,5.7,MN,VIS13844,2024-04-03,"exercise intolerance, open-mouth breathing, sudden collapse",Cardiovascular,Hypertrophic cardiomyopathy (HCM),severe,Medication,"Diuretics (furosemide), ACE inhibitors (benazepril), clopidogrel",chronic management
ANM12912,Cat,Domestic Shorthair,2.7,3.2,M,VIS12912,2023-01-12,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM00972,Dog,French Bulldog,6.2,12.8,F,VIS00972,2024-08-15,"limping, stiffness",Musculoskeletal,Osteoarthritis,moderate,Medication,"NSAIDs (carprofen/meloxicam), joint supplements",chronic management
ANM08841,Cat,Domestic Shorthair,8.2,4.9,FS,VIS08841,2023-10-16,"straining to urinate, blood in urine, vocalising",Urinary,Feline Lower Urinary Tract Disease (FLUTD),moderate,Medication,"Pain relief, urinary diet, fluids; catheterisation if blocked",recovered
ANM07777,Dog,Yorkshire Terrier,6.3,2.4,MN,VIS07777,2023-04-21,"scratching, skin lesions",Dermatology,Pyoderma,mild,Medication,"Systemic antibiotics (cephalexin), topical therapy",recovered
ANM08197,Cat,Domestic Shorthair,4.7,3.3,MN,VIS08197,2024-09-16,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM00614,Dog,Beagle,4.0,10.2,FS,VIS00614,2023-08-13,"vomiting, lethargy",GI,Vomiting (acute),mild,Supportive care,"Anti-emetics (maropitant), fluids, fasting",recovered
ANM13112,Cat,Maine Coon,8.0,5.8,M,VIS13112,2023-07-13,"vomiting, lethargy",GI,Vomiting (acute),mild,Supportive care,"Anti-emetics (maropitant), fluids",recovered
ANM10227,Cat,Maine Coon,5.3,9.0,MN,VIS10227,2023-05-20,"vomiting, lethargy",GI,Vomiting (acute),mild,Supportive care,"Anti-emetics (maropitant), fluids",recovered
ANM00391,Dog,Chihuahua,15.4,1.6,M,VIS00391,2024-07-01,"bad breath, difficulty eating, pawing at mouth",Dental,Severe dental disease,moderate,Surgery,"Prophylactic dentals, extractions",recovered
ANM06187,Dog,Labrador Retriever,3.6,28.1,F,VIS06187,2024-04-02,"head shaking, ear scratching",Ear,Otitis externa,mild,Medication,"Ear flushing, topical antimicrobial/steroid drops",recovered
ANM03449,Dog,Labrador Retriever,27.5,27.7,F,VIS03449,2023-10-10,"bad breath, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM11507,Cat,Domestic Shorthair,18.1,3.2,FS,VIS11507,2024-11-25,"scratching, hair loss, skin lesions",Dermatology,Flea allergy dermatitis,mild,Medication,"Flea treatment (selamectin/fipronil), topical steroids",recovered
ANM11405,Cat,Maine Coon,12.1,5.6,FS,VIS11405,2023-10-05,"weight loss, increased thirst, decreased appetite",Urinary,Chronic Kidney Disease (CKD),severe,Medication,"Renal diet, phosphate binders, SQ fluids, benazepril",chronic management
ANM09997,Cat,Domestic Shorthair,12.8,5.4,FS,VIS09997,2023-09-14,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM09045,Cat,DSH,15.6,4.9,FS,VIS09045,2023-05-07,"scratching, hair loss, skin lesions",Dermatology,Flea allergy dermatitis,mild,Medication,"Flea treatment (selamectin/fipronil), topical steroids",recovered
ANM13478,Cat,Persian,11.4,5.2,FS,VIS13478,2023-02-26,"straining to urinate, blood in urine, vocalising",Urinary,Feline Lower Urinary Tract Disease (FLUTD),moderate,Medication,"Pain relief, urinary diet, fluids; catheterisation if blocked",recovered
ANM02942,Dog,German Shepherd,13.0,33.7,F,VIS02942,2023-10-30,"diarrhoea, vomiting",GI,Diarrhoea / Gastroenteritis,moderate,Medication,"Metronidazole, bland diet, fluids",recovered
ANM09627,Cat,Persian,7.5,4.6,FS,VIS09627,2023-09-01,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM14225,Cat,Domestic Shorthair,8.9,3.1,FS,VIS14225,2023-12-19,"straining to urinate, blood in urine, vocalising",Urinary,Feline Lower Urinary Tract Disease (FLUTD),moderate,Medication,"Pain relief, urinary diet, fluids",chronic management
ANM12786,Cat,Domestic Shorthair,8.2,3.6,FS,VIS12786,2024-02-14,"scratching, hair loss, skin lesions",Dermatology,Flea allergy dermatitis,mild,Medication,"Flea treatment (selamectin/fipronil), topical steroids",recovered
ANM01103,Dog,Yorkshire Terrier,9.8,3.0,MN,VIS01103,2023-11-22,"honking cough, respiratory distress",Respiratory,Tracheal collapse,moderate,Medication,"Antitussives (butorphanol), weight management",chronic management
ANM14811,Cat,British Shorthair,8.4,7.6,M,VIS14811,2024-03-06,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM07070,Dog,Beagle,2.7,10.0,F,VIS07070,2023-07-28,"vomiting, anorexia",GI,Foreign body ingestion,severe,Surgery,"Exploratory laparotomy, endoscopic removal",referred
ANM09285,Cat,Persian,6.9,4.1,FS,VIS09285,2023-01-27,"vomiting, lethargy",GI,Vomiting (acute),mild,Supportive care,"Anti-emetics (maropitant), fluids",recovered
ANM14507,Cat,Persian,34.2,4.8,FS,VIS14507,2024-02-12,"vomiting, lethargy",GI,Vomiting (acute),mild,Supportive care,"Anti-emetics (maropitant), fluids",recovered
ANM10793,Cat,Domestic Shorthair,1.6,4.9,M,VIS10793,2023-12-19,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM04572,Dog,Labrador Retriever,2.3,30.8,F,VIS04572,2024-12-04,"frequent urination, straining",Urinary,Urinary tract infection,moderate,Medication,Antibiotics (amoxicillin-clavulanate),recovered
ANM06174,Dog,Labrador Retriever,9.6,32.1,MN,VIS06174,2023-03-07,"hindlimb lameness, difficulty rising",Musculoskeletal,Hip dysplasia,moderate,Medication,"NSAIDs (carprofen), weight management, joint supplements",chronic management
ANM09917,Cat,Maine Coon,14.3,6.8,M,VIS09917,2023-08-24,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM08987,Cat,Domestic Shorthair,10.9,4.8,FS,VIS08987,2023-07-30,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM14272,Cat,Persian,3.8,4.9,M,VIS14272,2023-03-01,"straining to urinate, blood in urine, vocalising",Urinary,Feline Lower Urinary Tract Disease (FLUTD),severe,Medication,"Pain relief, urinary diet, fluids; catheterisation if blocked",recovered
ANM08952,Cat,Domestic Shorthair,12.0,5.1,M,VIS08952,2024-04-16,"straining to urinate, blood in urine, vocalising",Urinary,Feline Lower Urinary Tract Disease (FLUTD),severe,Medication,"Pain relief, urinary diet, fluids; catheterisation if blocked",chronic management
ANM09957,Cat,Persian,3.7,4.8,F,VIS09957,2024-03-26,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM02950,Dog,German Shepherd,10.2,27.0,FS,VIS02950,2023-10-04,"itching, redness, recurrent skin issues",Dermatology,Atopic dermatitis,moderate,Medication,"Oclacitinib (Apoquel), lokivetmab (Cytopoint)",chronic management
ANM10854,Cat,Siamese,3.8,0.2,FS,VIS10854,2023-03-07,"weight loss, dyspnoea, regurgitation",GI,Mediastinal lymphoma,severe,Medication,Systemic chemotherapy protocols,chronic management
ANM14951,Cat,Maine Coon,1.8,7.2,M,VIS14951,2023-12-13,"vomiting, lethargy",GI,Vomiting (acute),mild,Supportive care,"Anti-emetics (maropitant), fluids",recovered
ANM04955,Dog,Labrador Retriever,4.1,27.4,F,VIS04955,2023-01-20,"bad breath, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM14638,Cat,Maine Coon,13.0,6.3,FS,VIS14638,2024-02-11,"exercise intolerance, open-mouth breathing, sudden collapse",Cardiovascular,Hypertrophic cardiomyopathy (HCM),severe,Medication,"Diuretics (furosemide), ACE inhibitors (benazepril), clopidogrel",chronic management
ANM10331,Cat,Domestic Shorthair,18.0,3.5,MN,VIS10331,2024-08-09,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM11503,Cat,Maine Coon,9.1,6.8,M,VIS11503,2024-11-22,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM12291,Cat,Siamese,16.5,4.3,MN,VIS12291,2023-01-07,"sneezing, nasal discharge, eye discharge",Respiratory,Upper respiratory infection (cat flu),moderate,Medication,"Supportive care, antibiotics if secondary (doxycycline)",recovered
ANM11100,Cat,Domestic Shorthair,13.2,5.0,M,VIS11100,2024-03-06,"straining to urinate, blood in urine, vocalising",Urinary,Feline Lower Urinary Tract Disease (FLUTD),moderate,Medication,"Pain relief, urinary diet, fluids",chronic management
ANM04996,Dog,French Bulldog,8.2,8.5,FS,VIS04996,2024-04-09,"scratching, skin lesions",Dermatology,Pyoderma,moderate,Medication,"Systemic antibiotics (cephalexin), topical therapy",recovered
ANM10406,Cat,Persian,7.6,3.9,M,VIS10406,2024-02-11,"scratching, hair loss, skin lesions",Dermatology,Flea allergy dermatitis,mild,Medication,"Flea treatment (selamectin/fipronil), topical steroids",recovered
ANM02597,Dog,Labrador Retriever,2.7,34.1,FS,VIS02597,2023-02-16,"head shaking, ear scratching",Urinary,Feline Lower Urinary Tract Disease (FLUTD),moderate,Medication,"Topical antimicrobial/steroid drops, ear flush",recovered
ANM04331,Dog,French Bulldog,3.6,12.8,M,VIS04331,2024-12-28,"head shaking, ear scratching",Ear,Otitis externa,mild,Medication,"Topical antimicrobial/steroid drops, ear flush",recovered
ANM13459,Cat,Domestic Shorthair,9.4,4.9,FS,VIS13459,2023-11-23,"diarrhoea, decreased appetite",GI,Diarrhoea / Gastroenteritis,moderate,Medication,"Metronidazole, probiotics, bland diet",recovered
ANM07193,Dog,French Bulldog,9.6,9.8,FS,VIS07193,2023-01-30,"vomiting, anorexia",GI,Foreign body ingestion,severe,Surgery,"Exploratory laparotomy, endoscopic removal",recovered
ANM11318,Cat,Domestic Shorthair,9.5,4.9,MN,VIS11318,2023-08-18,"diarrhoea, decreased appetite",GI,Diarrhoea / Gastroenteritis,mild,Medication,"Metronidazole, probiotics, bland diet",recovered
ANM01376,Dog,Chihuahua,1.5,2.0,MN,VIS01376,2024-03-02,"bad breath, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM11154,Cat,Siamese,13.9,4.1,FS,VIS11154,2024-02-04,"weight loss, dyspnoea, regurgitation",GI,Mediastinal lymphoma,severe,Medication,Systemic chemotherapy protocols,deceased
ANM01203,Dog,Yorkshire Terrier,12.9,3.8,MN,VIS01203,2023-04-08,"itching, redness, recurrent skin issues",Dermatology,Atopic dermatitis,moderate,Medication,"Oclacitinib (Apoquel), lokivetmab (Cytopoint)",chronic management
ANM14220,Cat,Domestic Shorthair,6.3,6.0,FS,VIS14220,2023-10-11,"scratching, hair loss, skin lesions",Dermatology,Flea allergy dermatitis,mild,Medication,"Flea treatment (selamectin/fipronil), topical steroids",recovered
ANM05547,Dog,Beagle,13.7,10.7,MN,VIS05547,2024-08-27,"head shaking, ear scratching",Ear,Otitis externa,mild,Medication,"Topical antimicrobial/steroid drops, ear flush",recovered
ANM01489,Dog,German Shepherd,6.1,22.4,MN,VIS01489,2023-01-10,"progressive hindlimb weakness, ataxia",Musculoskeletal,Degenerative myelopathy,severe,Supportive care,"Physiotherapy, supportive care (no cure)",chronic management
ANM06352,Dog,Labrador Retriever,2.0,28.8,M,VIS06352,2024-03-23,"acute lameness, non-weight bearing",Musculoskeletal,Cruciate ligament rupture,severe,Surgery,TPLO or lateral suture stabilisation,recovered
ANM12009,Cat,Maine Coon,12.1,8.8,MN,VIS12009,2023-08-01,"reduced jumping, hindlimb weakness",Musculoskeletal,Hip dysplasia,mild,Medication,"Weight control, gabapentin or robenacoxib for pain management",chronic management
ANM03297,Dog,Labrador Retriever,10.6,32.0,MN,VIS03297,2023-09-26,"bad breath, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM09299,Cat,Maine Coon,10.1,9.2,MN,VIS09299,2024-07-02,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM14085,Cat,Siamese,2.9,4.1,M,VIS14085,2024-11-24,"weight loss, increased thirst, decreased appetite",Urinary,Chronic Kidney Disease (CKD),moderate,Medication,"Renal diet, phosphate binders, SQ fluids, benazepril",chronic management
ANM03865,Dog,Labrador Retriever,5.8,32.5,FS,VIS03865,2023-08-14,"bad breath, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM04312,Dog,German Shepherd,10.2,36.0,MN,VIS04312,2023-09-06,"progressive hindlimb weakness, ataxia",Musculoskeletal,Degenerative myelopathy,severe,Supportive care,"Physiotherapy, supportive care (no cure)",deceased
ANM14236,Cat,Domestic Shorthair,11.3,4.3,FS,VIS14236,2023-12-14,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM08901,Cat,Maine Coon,6.4,8.1,M,VIS08901,2024-10-12,"diarrhoea, decreased appetite",GI,Diarrhoea / Gastroenteritis,mild,Medication,"Metronidazole, probiotics, bland diet",recovered
ANM06339,Dog,Chihuahua,10.8,1.6,MN,VIS06339,2023-11-10,"diarrhoea, vomiting",GI,Diarrhoea / Gastroenteritis,moderate,Medication,"Metronidazole, bland diet, fluids",recovered
ANM07535,Dog,Labrador Retriever,3.7,35.6,F,VIS07535,2024-07-30,"hindlimb lameness, difficulty rising",Musculoskeletal,Hip dysplasia,severe,Medication,"NSAIDs (carprofen), weight management, joint supplements",chronic management
ANM10371,Cat,Domestic Shorthair,1.0,3.1,M,VIS10371,2024-08-18,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM11308,Cat,Persian,9.7,3.2,FS,VIS11308,2023-04-03,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM09358,Cat,Persian,1.5,4.0,FS,VIS09358,2023-07-02,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM10398,Cat,Domestic Shorthair,19.5,4.3,FS,VIS10398,2023-10-31,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM05096,Dog,Labrador Retriever,7.1,25.8,M,VIS05096,2023-04-23,"bad breath, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM07012,Dog,German Shepherd,2.6,33.6,F,VIS07012,2024-05-06,"limping, stiffness",Musculoskeletal,Osteoarthritis,moderate,Medication,,chronic management
ANM02255,Dog,Beagle,8.1,10.2,MN,VIS02255,2024-07-04,"weight gain, lethargy, reduced exercise tolerance",GI,Obesity-related GI issues,mild,Supportive care,"Caloric restriction, exercise program",improving
ANM08211,Cat,Domestic Shorthair,9.4,5.7,FS,VIS08211,2024-02-15,"scratching, hair loss, skin lesions",Dermatology,Flea allergy dermatitis,mild,Medication,"Flea treatment (selamectin/fipronil), topical steroids",recovered
ANM06709,Dog,German Shepherd,1.3,26.6,M,VIS06709,2023-03-05,"bad breath, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM01733,Dog,Labrador Retriever,3.8,35.9,F,VIS01733,2024-02-15,"scratching, skin lesions",Dermatology,Pyoderma,mild,Medication,"Systemic antibiotics (cephalexin), topical therapy",recovered
ANM13081,Cat,Domestic Shorthair,13.3,5.4,MN,VIS13081,2023-10-08,"scratching, hair loss, skin lesions",Dermatology,Flea allergy dermatitis,mild,Medication,"Flea treatment (selamectin/fipronil), topical steroids",recovered
ANM11660,Cat,Siamese,12.0,4.3,F,VIS11660,2023-06-04,"diarrhoea, decreased appetite",GI,Diarrhoea / Gastroenteritis,mild,Medication,"Metronidazole, probiotics, bland diet",recovered
ANM01956,Dog,Labrador Retriever,12.6,29.6,MN,VIS01956,2023-10-14,"bad breath, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM09174,Cat,Domestic Shorthair,15.2,5.5,MN,VIS09174,2023-06-23,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM05445,Dog,Labrador Retriever,7.0,28.2,FS,VIS05445,2027-10-20,"diarrhoea, vomiting",GI,Diarrhoea / Gastroenteritis,mild,Medication,"Metronidazole, bland diet, fluids",recovered
ANM00881,Dog,Chihuahua,2.5,2.8,M,VIS00881,2024-04-18,"scratching, skin lesions",Dermatology,Pyoderma,mild,Medication,"Systemic antibiotics (cephalexin), topical therapy",recovered
